"volunteers" "variable" "value"
"424" "4" "FreqBodyAccJerk.std.Y" -0.975750855391109
"425" "5" "FreqBodyAccJerk.std.Y" -0.966831630482686
"426" "6" "FreqBodyAccJerk.std.Y" -0.973051242896091
"427" "1" "FreqBodyAccJerk.std.Z" -0.506329080412654
"428" "2" "FreqBodyAccJerk.std.Z" -0.661590843134715
"429" "3" "FreqBodyAccJerk.std.Z" -0.443554664639787
"430" "4" "FreqBodyAccJerk.std.Z" -0.983670821046708
"431" "5" "FreqBodyAccJerk.std.Z" -0.981509250650577
"432" "6" "FreqBodyAccJerk.std.Z" -0.980971915740741
"433" "1" "FreqBodyGyro.std.X" -0.510431986710081
"434" "2" "FreqBodyGyro.std.X" -0.49525397668763
"435" "3" "FreqBodyGyro.std.X" -0.375127467913848
"436" "4" "FreqBodyGyro.std.X" -0.982333273978616
"437" "5" "FreqBodyGyro.std.X" -0.946971557429171
"438" "6" "FreqBodyGyro.std.X" -0.96974730340535
"439" "1" "FreqBodyGyro.std.Y" -0.331961524686347
"440" "2" "FreqBodyGyro.std.Y" -0.29318182767215
"441" "3" "FreqBodyGyro.std.Y" -0.36185368284522
"442" "4" "FreqBodyGyro.std.Y" -0.964033658897017
"443" "5" "FreqBodyGyro.std.Y" -0.959498600608604
"444" "6" "FreqBodyGyro.std.Y" -0.961365374902263
"445" "1" "FreqBodyGyro.std.Z" -0.410569112536585
"446" "2" "FreqBodyGyro.std.Z" -0.292041341940868
"447" "3" "FreqBodyGyro.std.Z" -0.38040999928478
"448" "4" "FreqBodyGyro.std.Z" -0.961030235486775
"449" "5" "FreqBodyGyro.std.Z" -0.960689223903463
"450" "6" "FreqBodyGyro.std.Z" -0.966725247165638
"451" "1" "FreqBodyAccMag.std" -0.480002278144599
"452" "2" "FreqBodyAccMag.std" -0.361753456901554
"453" "3" "FreqBodyAccMag.std" -0.0754251669550853
"454" "4" "FreqBodyAccMag.std" -0.942000150701182
"455" "5" "FreqBodyAccMag.std" -0.949601613473977
"456" "6" "FreqBodyAccMag.std" -0.934916672889661
"457" "1" "FreqBodyBodyAccJerkMag.std" -0.221617770280105
"458" "2" "FreqBodyBodyAccJerkMag.std" -0.434206731972435
"459" "3" "FreqBodyBodyAccJerkMag.std" -0.0422714225290824
"460" "4" "FreqBodyBodyAccJerkMag.std" -0.978154770658413
"461" "5" "FreqBodyBodyAccJerkMag.std" -0.970947966726128
"462" "6" "FreqBodyBodyAccJerkMag.std" -0.97318339962963
"463" "1" "FreqBodyBodyGyroMag.std" -0.47383309359518
"464" "2" "FreqBodyBodyGyroMag.std" -0.381406363802979
"465" "3" "FreqBodyBodyGyroMag.std" -0.361230992213905
"466" "4" "FreqBodyBodyGyroMag.std" -0.951641735873945
"467" "5" "FreqBodyBodyGyroMag.std" -0.93063670339979
"468" "6" "FreqBodyBodyGyroMag.std" -0.942115714415638
"469" "1" "FreqBodyBodyGyroJerkMag.std" -0.514404823691173
"470" "2" "FreqBodyBodyGyroJerkMag.std" -0.703083532121114
"471" "3" "FreqBodyBodyGyroJerkMag.std" -0.486442976081671
"472" "4" "FreqBodyBodyGyroJerkMag.std" -0.984491355740011
"473" "5" "FreqBodyBodyGyroJerkMag.std" -0.973461064197272
"474" "6" "FreqBodyBodyGyroJerkMag.std" -0.976648216795267
